title,neighborhood,address,city,state,zipcode,typeofhistoricresource,datebuilt/architect,earliestbuildingdate,datedestroyed,rennovationyears,OriginalArchitect,ArchitectInfo,Photo,Rights,0,col_id,location,longitude,lattitude,status,,,,,,,,,,
A. M. E. Book Concern,Center City,631 Pine St.,Philadelphia,PA,19106,,,0,0,0,,https://images.nypl.org/index.php?id=1225582&t=w,New York Public Library,,001,dream001,"631-33 Pine St, Philadelphia, PA, USA",39.944263,-75.152949,success,,,,,,,,,,
Benezet's School / Quaker African School House,Center City,Willings Alley,Philadelphia,PA,19106,school,,0,0,0,,https://3.bp.blogspot.com/-NgI-bzgqzpw/UJ_Idk6d7nI/AAAAAAAAFHY/pjn7LXQ99dw/s400/Locust+lot.jpg,,,002,dream002,"Willings Alley, Philadelphia, PA, USA",39.94642,-75.147316,success,,,,,,,,,,
Benjamin Banneker Institute,Center City,409 S. 11th St.,Philadelphia,PA,19147,,,0,0,0,,https://img.geocaching.com/waymarking/log/display/82f8fd54-d7ff-478f-835c-62a06c8598ec.jpg,,,003,dream003,"409-15 S 11th St, Philadelphia, PA, USA",39.944331,-75.159751,success,,,,,,,,,,
College Settlement / W. E. B. DuBois House,Center City,617 Rodman St.,Philadelphia,PA,19147,settlement house,,0,0,0,,,,,004,dream004,"Rodman Street, Philadelphia, PA, USA",39.94321,-75.158547,doubt,,,,,,,,,,
Colored Industrial School,Center City,20th below Walnut St.,Philadelphia,PA,,school,,0,0,0,,,,,005,dream005,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Douglass Hotel (Billie Holiday Residence),Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,hotel,1796,1796,0,1926,,https://www.preservationalliance.com/images/aia/1409-11LombardSt.jpg,Preservation Alliance for Greater Philadelphia,,006,dream006,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt,,,,,,,,,,
Dunbar Theater / Lincoln Theater,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,theater,,0,0,0,,https://3wev1f3oz92s4a12494el03m-wpengine.netdna-ssl.com/wp-content/uploads/2017/03/Lincoln-Marquee-dettail-25412-0-B.jpg,,,007,dream007,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Female Anti-Slavery Society,Center City,107 N. 5th St.,Philadelphia,PA,19106,,,0,0,0,,https://hsp.org/sites/default/files/pas.jpg,,,008,dream008,"North 5th Street, Philadelphia, PA, USA",39.966843,-75.145813,doubt,,,,,,,,,,
First African Baptist Church Cemetery,Center City,8th and Vine Sts.,Philadelphia,PA,19106,cemetery,1796,1796,0,0,,,,,009,dream009,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,church,,0,0,0,,,,,010,dream010,"Cherry Street, Philadelphia, PA, USA",39.963113,-75.229813,doubt,,,,,,,,,,
Free African Society,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,,,0,0,0,,https://hsp.org/sites/default/files/legacy_files/migrated/richardallenabsolomjones_half.jpg,,,011,dream011,"412 Lombard Street, Philadelphia, PA, USA",39.94258,-75.149553,doubt,,,,,,,,,,
Grendel's Lair,Center City,500 South St.,Philadelphia,PA,19147,,,0,0,0,,https://www.preservationalliance.com/images/aia/500SouthSt.jpg,,,012,dream012,"500 South Street, Philadelphia, PA, USA",39.941747,-75.150875,success,,,,,,,,,,
Historic St. George's Methodist Church,Center City,235 N. 4th St.,Philadelphia,PA,19106,church,"1767, 1812",1767,0,1812,,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa0800/pa0801/photos/139825pv.jpg,,,013,dream013,"North 4th Street, Philadelphia, PA, USA",39.992082,-75.138301,doubt,,,,,,,,,,
"James Forten, Sr. House / Charlotte Forten House",Center City,336 Lombard St.,Philadelphia,PA,19147,dwelling,,0,0,0,,https://www.preservationalliance.com/images/aia/336LombardStb.jpg,Preservation Alliance for Greater Philadelphia,,014,dream014,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt,,,,,,,,,,
Liberation of Jane Johnson,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,,,0,0,0,,https://npgallery.nps.gov/GetAsset/2d7bad29-73e1-4518-9753-e9ffcd3da775/proxyhires?,,,015,dream015,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Lombard Street Riot,Center City,6th & Lombard,Philadelphia,PA,19147,,n/a,9,0,0,,https://philadelphiaencyclopedia.org/wp-content/uploads/2013/05/RiotIllustration.jpg,,,016,dream016,"412 Lombard Street, Philadelphia, PA, USA",39.94258,-75.149553,doubt,,,,,,,,,,
Mayor Richardson Dilworth House,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,dwelling,,0,0,0,,https://www.ocfrealty.com/wp-content/uploads/2019/01/IMG_8030.jpg,,,017,dream017,"South 6th Street, Philadelphia, PA, USA",39.949982,-75.150576,doubt,,,,,,,,,,
Octavius V. Catto House Site,Center City,814 South St.,Philadelphia,PA,19147,dwelling,demolished ca. 1990,0,1990,0,,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2006_8CattoM-000001,,,018,dream018,"814 South St, Philadelphia, PA, USA",39.942303,-75.156023,success,,,,,,,,,,
Octavius V. Catto School Building #2,Center City,2028-2038 Lombard St.,Philadelphia,PA,19146,school,,0,0,0,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Octavius_V_Catto_Secondary_School_Colored_Lombard_Street_above_Twentieth_Philadelphia_PA_%281897%29.jpg,,,019,dream019,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt,,,,,,,,,,
ODUNDE Festival,Center City,23rd and South Sts.,Philadelphia,PA,19146,,,0,0,0,,,,,020,dream020,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Pennsylvania Abolition Society,Center City,"Front St., below Chestnut St.",Philadelphia,PA,19106,,,0,0,0,,https://www.blackpast.org/wp-content/uploads/The-Pennsylvania-Abolition-Societry-Executive-Committee-Sophia-Smith-Collection-Smith-College.jpg,,,021,dream021,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Pennsylvania Hall,Center City,6th and Haines Sts.,Philadelphia,PA,,hall,1838; burned 1838,1838,1838,0,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Pennsylvania_Hall_%28Philadelphia%29.jpg,,,022,dream022,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Robert Bogle Catering Establishment,Center City,112 S. 8th St.,Philadelphia,PA,19107,caterer,,0,0,0,,https://libwww.freelibrary.org/images/blog/FLPBlog/resized/bogle-portrait.png,,,023,dream023,"112 South 8th Street, Philadelphia, PA, USA",39.94909,-75.15425,success,,,,,,,,,,
Robert Mara Adger House,Center City,823 South St.,Philadelphia,PA,19147,dwelling,,0,0,0,,https://i.pinimg.com/originals/d0/e4/cb/d0e4cb08475f423afd6860cb029abb25.jpg,,,024,dream024,"South Street, Philadelphia, PA, USA",39.943754,-75.166382,doubt,,,,,,,,,,
Thaddeus Kosciuszko House / Kosciuszko National Memorial,Center City,301-303 Pine St.,Philadelphia,PA,19106,dwelling,1750-1780,0,0,0,,https://www.preservationalliance.com/images/aia/301-3PineSt.jpg,Preservation Alliance for Greater Philadelphia,,025,dream025,"Pine Street, Philadelphia, PA, USA",39.953331,-75.224626,doubt,,,,,,,,,,
Wesley A.M.E. Zion Church,Center City,1500-1504 Lombard St.,Philadelphia,PA,19146,church,"1925, 1926",1925,0,0,,https://www.preservationalliance.com/images/aia/1500-04LombardSt.jpg,Preservation Alliance for Greater Philadelphia,,026,dream026,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt,,,,,,,,,,
Baker Bowl,North,N. Broad and W. Lehigh Ave.,Philadelphia,PA,19132,stadium,1887; demolished 1950,1887,1950,0,,https://www.baseball-almanac.com/images/Baker_Bowl_postcard.jpg,,,027,dream027,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Black Panthers Headquarters,North,1928 Cecil B. Moore Ave.,Philadelphia,PA,19121,,,0,0,0,,https://images.squarespace-cdn.com/content/v1/57cf18ae6b8f5ba693497e1a/1477071113564-EVO9T7SNVSHGKBO1DDQD/image-asset.jpeg?format=2500w,,,028,dream028,"1928 Cecil B Moore Ave, Philadelphia, PA, USA",39.979651,-75.166851,success,,,,,,,,,,
Cyrus Bustill House ,North,near 3rd and Green Sts.,Philadelphia,PA,19123,dwelling,,0,0,0,,https://www.hmdb.org/Photos/19/Photo19214.jpg,,,029,dream029,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
David Bustill Bowser House,North,841 N. 4th St.,Philadelphia,PA,19123,dwelling,,0,0,0,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/David_Bustill_Bowser.png/220px-David_Bustill_Bowser.png,,,030,dream030,"North 4th Street, Philadelphia, PA, USA",39.992082,-75.138301,doubt,,,,,,,,,,
Ebenezer Don Carlos Bassett House,North,2121 N. 29th St.,Philadelphia,PA,19121,dwelling,,0,0,0,,,,,031,dream031,"2121 N 29th St, Philadelphia, PA, USA",39.988316,-75.180225,success,,,,,,,,,,
Fair Hill Burial Ground,North,2901 Germantown Ave.,Philadelphia,PA,19133,cemetery,1842,1824,0,0,,,,,032,dream032,"2901 Germantown Ave, Philadelphia, PA, USA",39.99678,-75.146065,success,,,,,,,,,,
Jessie Redmon Fauset House,North,1853 N. 17th St.,Philadelphia,PA,19121,dwelling,ca. 1885,1885,0,0,,https://media.newyorker.com/photos/59097e3bc14b3c606c10999a/master/pass/Jerkins-TheForgottenWorkofJessieRedmonFauset.jpg,,,033,dream033,"1853 N 17th St, Philadelphia, PA, USA",39.982106,-75.161803,success,,,,,,,,,,
John W. Coltrane House,North,1511 N. 33rd St.,Philadelphia,PA,19121,dwelling,1895,1985,0,0,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/ColtraneH.jpg/500px-ColtraneH.jpg,,,034,dream034,"1511 N 33rd St, Philadelphia, PA, USA",39.980283,-75.188424,success,,,,,,,,,,
Negro People's Theater of Philadelphia,North,311 N. 16th St.,Philadelphia,PA,19102,,,0,0,0,,,,,035,dream035,"North 16th Street, Philadelphia, PA, USA",40.042469,-75.146943,doubt,,,,,,,,,,
Pearl Bailey House,North,1946 N. 23rd St.,Philadelphia,PA,19121,dwelling,"ca. 1884-1886, Willis G. Hale",1886,0,0,,https://phillyjazzblog.files.wordpress.com/2015/03/pearl-bailey-house-1.jpg?w=474,,,036,dream036,"1946 N 23rd St, Philadelphia, PA, USA",39.984933,-75.1718,success,,,,,,,,,,
Zoar Methodist Church Site,North,409 Brown St.,Philadelphia,PA,19123,church,,0,0,0,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC3-IFz85M-EMTeWkvu4VNtOXDyCjiv3GZnYs3Hz1f62Q1rqjUnQQshUKgWfUGoI3LPvA&usqp=CAU,,,037,dream037,"409 Brown St, Philadelphia, PA, USA",39.964018,-75.144913,success,,,,,,,,,,
Robert Purvis Estate,Northeast,Byberry and Thornton Roads,Philadelphia,PA,19154,dwelling,ca. 1770,1770,0,0,,https://www.ocfrealty.com/wp-content/uploads/2012/01/IMG_0309-560x420.jpg,,,038,dream038,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Cliveden,Northwest,6401 Germantown Ave.,Philadelphia,PA,19119,"dwelling, museum","1763, 1764",1763,0,0,,https://www.preservationalliance.com/images/aia/6401Germantown.jpg,Preservation Alliance for Greater Philadelphia,,039,dream039,"6401 Germantown Ave, Philadelphia, PA, USA",40.047285,-75.181627,success,,,,,,,,,,
