title,subject,headline,description,location,address,city,state,zipecode,rssrtype,dates1,item.date,destructdate,renovationdate,dateaprox,orginarc,photo,rights,eventtype,latitude,longitude,objectid,coordinates_accuracy
A. M. E. Book Concern,,,,Center City,631 Pine St.,Philadelphia,PA,19106,,,0,0,0,FALSE,unknown,https://images.nypl.org/index.php?id=1225582&t=w,New York Public Library,,39.944263,-75.152949,dreamlab1,success
Benezet's School / Quaker African School House,,,School founded for free blacks since 1770 and admitted enslaved children too. benezet was one of the most influential anti-slavery writer and champion of black rights on both sides of the Atlantic.,Center City,Willings Alley,Philadelphia,PA,19106,school,,0,0,0,TRUE,unknown,https://3.bp.blogspot.com/-NgI-bzgqzpw/UJ_Idk6d7nI/AAAAAAAAFHY/pjn7LXQ99dw/s400/Locust+lot.jpg,,,39.94642,-75.147316,dreamlab2,success
Benjamin Banneker Institute,academia;intelligencia,academia;intelligencia,,Center City,409 S. 11th St.,Philadelphia,PA,19147,,,0,0,0,FALSE,unknown,https://img.geocaching.com/waymarking/log/display/82f8fd54-d7ff-478f-835c-62a06c8598ec.jpg,,,39.944331,-75.159751,dreamlab3,success
College Settlement / W. E. B. DuBois House,academia;intelligencia,academia;intelligencia,Program recognising African-Americans at UPenn initiated by Black undergraduates in 1972 as part of the ongoing Civil Rights movement.,Center City,617 Rodman St.,Philadelphia,PA,19147,settlement house,,0,0,0,FALSE,unknown,,,,39.94321,-75.158547,dreamlab4,doubt
Colored Industrial School,academia;intelligencia,academia;intelligencia,,Center City,20th below Walnut St.,Philadelphia,PA,,school,,0,0,0,TRUE,unknown,,,,39.990821,-75.168428,dreamlab5,doubt
Douglass Hotel (Billie Holiday Residence),entertainment,entertainment,,Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,hotel,1796,1796,0,1926,TRUE,unknown,https://www.preservationalliance.com/images/aia/1409-11LombardSt.jpg,Preservation Alliance for Greater Philadelphia,,39.943947,-75.159541,dreamlab6,doubt
Dunbar Theater / Lincoln Theater,entertainment,entertainment,,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,theater,,,0,0,TRUE,unknown,https://3wev1f3oz92s4a12494el03m-wpengine.netdna-ssl.com/wp-content/uploads/2017/03/Lincoln-Marquee-dettail-25412-0-B.jpg,,,39.990821,-75.168428,dreamlab7,doubt
Female Anti-Slavery Society,,,Predominantly white but racially mixed female abolitionist organization that grew oiut of the inability of women to participate on male abolitionist platforms. Ran between 1833 and 1870.,Center City,107 N. 5th St.,Philadelphia,PA,19106,,,,0,0,FALSE,unknown,https://hsp.org/sites/default/files/pas.jpg,,,39.966843,-75.145813,dreamlab8,doubt
First African Baptist Church Cemetery,,,"""Site of the cemetery that served this congregation from 1824 to 1842. Archaeological excavations in the 1980s provided links to ancient African burial customs. The remains were re-interred in Eden Cemetery, Delaware Co., Pa"" [From Historical Marker Database]",Center City,8th and Vine Sts.,Philadelphia,PA,19106,cemetery,1796,1796,0,0,TRUE,unknown,,,,39.990821,-75.168428,dreamlab9,doubt
First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,,,,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,church,,0,0,0,TRUE,unknown,,,,39.963113,-75.229813,dreamlab10,doubt
